1085492950273900616|24
395597550519975937|145
366709133195476992|6
415613828290838569|0
499607385627820033|0
862676746708320276|0
479463028585136129|0
657366190825406484|31
641393015994318919|1
580093528240160768|1419
1205425425908768818|3
471410617841090561|1
1085492950273900616|24
395597550519975937|146
366709133195476992|6
415613828290838569|0
499607385627820033|0
862676746708320276|0
479463028585136129|0
657366190825406484|31
641393015994318919|1
580093528240160768|1419
1205425425908768818|3
471410617841090561|1
